,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
131,Kepler-109 c,21.8,2.52,474.861,Kepler-109,771.0,5945.0,1.302,0.1506,0,2
132,Kepler-1090 b,5.69,2.25,858.77,Kepler-1090,297.0,5330.0,1.013,0.6364,1,2
133,Kepler-1090 c,10.9,3.293,858.77,Kepler-1090,496.0,5330.0,1.013,0.2274,0,2
134,Kepler-1091 b,2.73,1.46,914.299,Kepler-1091,1664.0,5806.0,1.064,0.0252,0,1
135,Kepler-1092 b,4.94,2.07,981.233,Kepler-1092,508.0,6250.0,1.019,0.2996,0,1
136,Kepler-1093 b,4.46,1.95,1072.88,Kepler-1093,776.0,6429.0,1.262,0.1685,0,2
137,Kepler-1093 c,4.5,1.96,1072.88,Kepler-1093,508.0,6429.0,1.262,0.394,0,2
138,Kepler-1094 b,10.2,3.18,1291.01,Kepler-1094,480.0,5779.0,1.284,0.3625,0,1
139,Kepler-1095 b,1.92,1.21,792.522,Kepler-1095,1108.0,5984.0,0.906,0.0514,0,1
140,Kepler-1096 b,2.07,1.24,377.976,Kepler-1096,794.0,4229.0,0.615,0.034,0,1
141,Kepler-1097 b,10.7,3.26,719.802,Kepler-1097,267.0,5303.0,0.753,0.5791,0,1
142,Kepler-1098 b,2.24,1.3,1049.19,Kepler-1098,1319.0,5579.0,1.029,0.0358,0,1
143,Kepler-1099 b,8.4,2.83,1022.8,Kepler-1099,1558.0,6153.0,1.109,0.0337,0,1
144,Kepler-11 b,1.9,1.8,646.346,Kepler-11,849.0,5657.0,1.046,0.091,0,6
145,Kepler-11 c,2.9,2.87,646.346,Kepler-11,786.0,5657.0,1.046,0.107,0,6
146,Kepler-11 d,7.3,3.12,646.346,Kepler-11,653.0,5657.0,1.046,0.155,0,6
147,Kepler-11 e,8.0,4.19,646.346,Kepler-11,582.0,5657.0,1.046,0.195,0,6
148,Kepler-11 f,2.0,2.49,646.346,Kepler-11,513.0,5657.0,1.046,0.25,0,6
149,Kepler-11 g,25.0,3.33,646.346,Kepler-11,376.0,5657.0,1.046,0.466,0,6
150,Kepler-110 b,4.01,1.83,586.531,Kepler-110,1008.0,5869.0,1.626,0.107,0,2
151,Kepler-110 c,5.52,2.21,586.531,Kepler-110,743.0,5869.0,1.626,0.198,0,2
